"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"1500000US060750215001","Block Group 1; Census Tract 215; San Francisco County; California","1308","563",
"1500000US060750215002","Block Group 2; Census Tract 215; San Francisco County; California","1408","371",
"1500000US060750215003","Block Group 3; Census Tract 215; San Francisco County; California","569","219",
"1500000US060750215004","Block Group 4; Census Tract 215; San Francisco County; California","1027","392",
"1500000US060750215005","Block Group 5; Census Tract 215; San Francisco County; California","1247","270",
"1500000US060750216001","Block Group 1; Census Tract 216; San Francisco County; California","2244","502",
"1500000US060750216002","Block Group 2; Census Tract 216; San Francisco County; California","1555","400",
"1500000US060750216003","Block Group 3; Census Tract 216; San Francisco County; California","615","203",
"1500000US060750217001","Block Group 1; Census Tract 217; San Francisco County; California","1043","251",
"1500000US060750217002","Block Group 2; Census Tract 217; San Francisco County; California","1900","630",
"1500000US060750217003","Block Group 3; Census Tract 217; San Francisco County; California","1659","334",
"1500000US060750218001","Block Group 1; Census Tract 218; San Francisco County; California","1375","340",
"1500000US060750218002","Block Group 2; Census Tract 218; San Francisco County; California","1059","253",
"1500000US060750218003","Block Group 3; Census Tract 218; San Francisco County; California","717","298",
"1500000US060750218004","Block Group 4; Census Tract 218; San Francisco County; California","970","264",
"1500000US060750226001","Block Group 1; Census Tract 226; San Francisco County; California","2279","402",
"1500000US060750226002","Block Group 2; Census Tract 226; San Francisco County; California","1570","255",
"1500000US060750227021","Block Group 1; Census Tract 227.02; San Francisco County; California","1241","358",
"1500000US060750227022","Block Group 2; Census Tract 227.02; San Francisco County; California","911","174",
"1500000US060750227041","Block Group 1; Census Tract 227.04; San Francisco County; California","1525","263",
"1500000US060750227042","Block Group 2; Census Tract 227.04; San Francisco County; California","1195","284",
"1500000US060750227043","Block Group 3; Census Tract 227.04; San Francisco County; California","996","229",
"1500000US060750228011","Block Group 1; Census Tract 228.01; San Francisco County; California","2214","869",
"1500000US060750228012","Block Group 2; Census Tract 228.01; San Francisco County; California","1581","338",
"1500000US060750228013","Block Group 3; Census Tract 228.01; San Francisco County; California","1155","358",
"1500000US060750228021","Block Group 1; Census Tract 228.02; San Francisco County; California","839","165",
"1500000US060750228022","Block Group 2; Census Tract 228.02; San Francisco County; California","1530","313",
"1500000US060750228031","Block Group 1; Census Tract 228.03; San Francisco County; California","2289","651",
"1500000US060750228032","Block Group 2; Census Tract 228.03; San Francisco County; California","715","252",
"1500000US060750228033","Block Group 3; Census Tract 228.03; San Francisco County; California","1426","631",
"1500000US060750229011","Block Group 1; Census Tract 229.01; San Francisco County; California","1297","312",
